timestamp,air_temp_c,humidity_pct,pressure_hpa,lux,thermal_min_c,thermal_max_c,thermal_mean_c
2026-09-01T23:30:36.160126,22.45,61.16,994.81,88.62,23.34,34.36,27.65
2026-09-01T23:30:42.426678,22.44,61.21,994.78,88.36,23.5,34.99,27.74
2026-09-01T23:30:49.579944,22.44,61.23,994.83,88.52,23.3,34.79,27.62
2026-09-01T23:30:56.707062,22.43,60.75,994.83,90.49,22.97,34.95,27.47
2026-09-01T23:31:03.818108,22.43,61.4,994.78,88.46,36.61,38.94,37.61
2026-09-01T23:31:10.939785,22.49,63.08,994.79,89.94,23.01,34.8,27.38
2026-09-01T23:31:18.083969,22.7,68.63,994.83,90.0,22.96,35.03,27.38
2026-09-01T23:31:25.188397,22.82,63.34,994.77,1.98,22.96,34.64,27.27
2026-09-01T23:31:32.239246,22.87,62.22,994.77,1.98,22.88,34.44,27.3
2026-09-01T23:31:38.890040,22.88,61.43,994.77,89.56,23.12,34.64,27.32
